Laser id,Elevation,Azimuth
1,7.1756,-0.028
2,6.1726,-0.028
3,5.1636,-0.029
4,4.1506,-0.029
5,3.1336,-2.557
6,2.1146,-2.558
7,1.7786,2.501
8,1.4306,-5.071
9,1.0946,-2.558
10,0.7576,2.502
11,0.4106,-5.072
12,0.0736,-2.559
13,-0.2674,2.502
14,-0.6064,-5.071
15,-0.9474,-0.03
16,-1.2884,2.501
17,-1.6264,-5.071
18,-1.9684,-0.029
19,-2.3064,5.021
20,-2.6464,-2.558
21,-2.9874,-0.029
22,-3.3244,5.02
23,-3.6634,-2.557
24,-4.0034,-0.029
25,-4.3354,5.019
26,-4.6804,-2.556
27,-5.0164,2.5
28,-5.3464,5.017
29,-5.6904,-2.554
30,-6.0244,2.499
31,-7.0274,2.499
32,-8.0254,2.498
33,-9.0154,-0.027
34,-9.9984,-0.026
35,-10.9724,-0.025
36,-11.9364,-0.024
37,-12.8844,-2.534
38,-13.8264,-2.53
39,-14.7574,-2.526
40,-15.6744,-2.52
